ts,mid,spread_bps,trend_bps_per_sec,trend_angle_deg,bid_pressure_total_usd,ask_pressure_total_usd,pressure_imbalance,strongest_bid_usd,strongest_bid_dist_usd,strongest_ask_usd,strongest_ask_dist_usd,bid_p_0_10,bid_p_10_25,bid_p_25_50,bid_p_50_100,bid_p_100_200,ask_p_0_10,ask_p_10_25,ask_p_25_50,ask_p_50_100,ask_p_100_200,burst_count_3s,burst_buy_usd_3s,burst_sell_usd_3s,burst_imbalance_3s,target_ok_long,target_ok_short,pressure_ok_long,pressure_ok_short,in_long_hint,in_short_hint
1771599784759,67546.50,0.1480,-0.957434,-43.7542,4238302.64,1156075.18,0.571378,985787.20,10.50,390193.96,18.50,588652.63,3649650.01,0.00,0.00,0.00,154272.39,1001802.79,0.00,0.00,0.00,69,46329.23,44005.49,0.025724,0,0,1,0,0,0
1771599785423,67546.50,0.1480,-0.988303,-44.6629,235680.12,2534263.46,-0.829830,100008.71,20.50,425562.01,14.50,55573.23,180106.89,0.00,0.00,0.00,746346.22,1787917.24,0.00,0.00,0.00,57,43592.43,49180.28,-0.060232,0,1,0,1,0,1
1771599785940,67546.50,0.1480,-1.018740,-45.5319,65169.82,1780773.03,-0.929391,15242.87,13.50,805180.50,0.50,32777.20,32392.62,0.00,0.00,0.00,1500277.48,280495.54,0.00,0.00,0.00,66,276046.18,47999.26,0.703750,0,0,0,1,0,0
1771599786575,67515.00,0.5925,-1.052260,-46.4587,2787823.55,4229049.58,-0.205394,454215.99,2.00,638717.67,21.00,724127.57,1403573.79,660122.18,0.00,0.00,483051.69,3521773.87,224224.02,0.00,0.00,103,274654.84,119140.49,0.394912,1,0,0,1,0,0
1771599787143,67525.00,0.2962,-1.080774,-47.2231,8392559.34,579955.33,0.870726,1677733.98,8.00,206497.82,35.00,6829946.32,1562613.02,0.00,0.00,0.00,11.48,157300.56,422643.29,0.00,0.00,149,1239814.16,113239.04,0.832617,1,0,1,0,0,0
1771599788179,67546.50,0.1480,-1.102236,-47.7842,5133611.14,1681698.97,0.506494,982666.17,16.50,452269.53,25.50,2331233.35,2802377.79,0.00,0.00,0.00,15359.49,759741.12,906598.37,0.00,0.00,189,1245106.25,447759.22,0.471004,1,0,1,0,0,0
1771599788797,67552.50,0.1480,-1.117584,-48.1782,2935869.07,1071334.00,0.465296,428653.97,25.50,265442.92,15.50,1538195.79,522391.54,875281.74,0.00,0.00,273525.80,797808.21,0.00,0.00,0.00,179,1011865.13,445402.23,0.388716,0,1,1,0,0,0
1771599789385,67552.50,0.1480,-1.120235,-48.2457,1151415.64,1274400.81,-0.050698,750772.20,22.50,302539.49,0.50,33871.47,1117270.69,273.48,0.00,0.00,1029067.16,245333.65,0.00,0.00,0.00,181,1011978.62,445353.60,0.388810,0,1,0,0,0,0
1771599790190,67522.00,2.9620,-1.125243,-48.3726,3028418.35,3293794.88,-0.041975,690087.12,20.00,371905.10,26.00,0.00,2268098.44,760319.90,0.00,0.00,0.00,2427615.17,866179.70,0.00,0.00,154,10585.88,2604709.89,-0.991905,1,1,0,0,0,0
1771599790722,67516.50,0.1481,-1.128657,-48.4588,2829866.44,283340.52,0.817975,670728.44,1.50,103451.73,12.50,1825028.88,1004837.57,0.00,0.00,0.00,86014.30,195715.99,1610.23,0.00,0.00,116,18342.81,2253209.75,-0.983850,0,0,1,0,0,0
1771599791377,67549.00,0.8882,-1.124907,-48.3641,2568795.19,4914664.72,-0.313474,241761.04,21.00,599822.45,23.00,75950.75,1210051.54,1282792.90,0.00,0.00,1308069.10,2879236.09,727359.53,0.00,0.00,134,25253.24,2254246.01,-0.977843,1,1,0,1,0,1
1771599792388,67524.00,0.2962,-1.123259,-48.3224,858362.71,4902358.19,-0.701995,448234.87,47.00,1597088.70,22.00,13765.24,889.00,814245.95,29462.52,0.00,921187.47,3981170.72,0.00,0.00,0.00,272,982349.38,4544793.60,-0.644536,1,1,0,1,0,1
1771599792920,67512.50,0.1481,-1.121708,-48.2831,1436602.41,5826451.17,-0.604408,790309.34,13.50,624448.65,10.50,245033.16,1191569.25,0.00,0.00,0.00,3878183.90,1948267.27,0.00,0.00,0.00,188,978747.77,2328629.11,-0.408143,0,0,0,1,0,0
1771599793526,67512.50,0.1481,-1.119337,-48.2229,1111636.93,2057186.49,-0.298391,269857.99,20.50,380840.84,17.50,76132.13,807272.41,228232.40,0.00,0.00,618132.50,1343676.83,95377.16,0.00,0.00,224,984474.90,2326223.62,-0.405277,0,1,0,1,0,1
1771599794105,67495.50,0.1482,-1.114535,-48.1004,3023230.35,7002740.62,-0.396920,609432.38,14.50,1280551.22,13.50,1222811.68,1800418.68,0.00,0.00,0.00,839680.59,6163060.03,0.00,0.00,0.00,247,987795.03,4556538.26,-0.643674,0,0,0,1,0,0
1771599794617,67507.50,0.1481,-1.103835,-47.8255,1627560.33,1939347.00,-0.087411,353141.60,10.50,781266.73,22.50,387177.32,1240383.00,0.00,0.00,0.00,603704.19,1335642.81,0.00,0.00,0.00,251,999109.26,4558082.69,-0.640427,1,0,0,0,0,0
1771599795142,67511.50,0.1481,-1.094141,-47.5740,4164983.33,925542.28,0.636367,610593.11,0.50,294461.30,14.50,2699221.12,1465762.21,0.00,0.00,0.00,129593.13,795949.15,0.00,0.00,0.00,143,888244.65,2266417.80,-0.436869,0,0,1,0,0,0
1771599795823,67512.50,0.1481,-1.084725,-47.3273,4533752.21,2571346.42,0.276197,3628715.99,0.50,608522.77,22.50,3807437.19,726315.02,0.00,0.00,0.00,125335.03,2260575.01,185436.39,0.00,0.00,109,51711.51,2253680.08,-0.955139,1,0,1,0,0,0
1771599796821,67529.50,0.1481,-1.073443,-47.0286,353829.53,5809759.96,-0.885187,94777.02,24.50,1162352.86,15.50,61586.26,159502.54,132740.73,0.00,0.00,1367490.98,4442268.98,0.00,0.00,0.00,108,2997652.90,12425.16,0.991744,0,1,0,1,0,1
1771599797327,67506.50,0.1481,-1.064182,-46.7809,3419788.50,2423466.17,0.170508,623523.89,0.50,326350.46,19.50,1575551.09,888346.54,955890.88,0.00,0.00,149999.36,2273466.80,0.00,0.00,0.00,173,2984402.90,2233276.02,0.143958,0,0,1,0,0,0
1771599797838,67527.00,1.1847,-1.051149,-46.4285,12398483.44,2176368.31,0.701353,2007048.56,21.00,303929.04,29.00,1607727.98,10790755.45,0.00,0.00,0.00,5249.93,1414338.32,756780.06,0.00,0.00,175,2995501.75,2233244.97,0.145782,1,1,1,0,0,0
